HH_ID,EF_ID,CF_ID,PP_ID,CMA,AGEGRP,SEX,KOL,ATTSCH,CIP,NOCS,EMPIN,TOTINC,BEDRM,ROOM,DTYPE,MARSTH,CFSTAT,BUILT,CONDO,GENSTAT,CITIZEN,LFTAG,CF_RP,COW,POWST,INCTAX,PR,VALUE,REPAIR,HRSWRK,MODE,HHSIZE,EFSIZE,CFSIZE,PID,SIM_HH_ID,MATCH_ID_WD,MATCH_TIER_WD,MATCH_ID_WE,MATCH_TIER_WE
114518,1145181,11451811,1145181102,2,3,1,1,1,13,2,10000,4,3,4,1,2,1,1,0,4,1,1,2,2,1,1000,35,90000,1,4,9,4,4,4,fbc4be99,89635,18200.0,3_Constraints,7712.0,3_Constraints
87492,874921,8749211,874921103,2,1,2,3,1,8,8,26000,6,2,4,1,1,3,4,0,4,1,1,2,1,2,3000,24,230000,1,5,2,4,4,4,c1b366f9,90869,5623.0,3_Constraints,15404.0,3_Constraints
44667,446671,4466711,446671101,2,2,2,1,1,13,10,41000,8,2,3,1,2,1,1,0,4,1,1,1,1,6,7000,35,120000,2,5,2,2,2,2,fced2023,63848,868.0,2_Core,6576.0,2_Core
101183,1011831,10118311,1011831102,2,2,2,1,1,5,5,42000,8,2,2,3,2,1,2,9,4,1,1,2,1,5,5000,35,0,2,10,2,2,2,2,20015490,71313,868.0,2_Core,19117.0,2_Core
117671,1176713,11767133,1176713303,1,1,1,1,2,13,99,0,3,2,3,2,1,6,2,9,4,1,4,3,9,9,0,35,0,1,0,9,3,1,1,3834a5a1,108330,12233.0,3_Constraints,3696.0,3_Constraints
39537,395372,3953722,395372202,1,1,1,1,2,13,99,25000,6,2,2,2,1,6,3,9,4,1,4,3,9,9,2000,35,0,2,0,9,2,1,1,f95b4326,108360,7346.0,3_Constraints,13536.0,3_Constraints
59015,590151,5901511,590151102,1,1,2,1,2,13,99,0,1,2,3,2,1,4,3,1,2,1,5,2,9,9,0,48,200000,1,0,9,2,2,2,46695784,46590,10638.0,3_Constraints,763.0,3_Constraints
63281,632811,6328111,632811103,2,1,2,1,1,13,7,10000,4,2,3,1,1,3,3,0,4,1,1,2,1,5,1,10,120000,1,5,5,3,3,3,e05cf1fb,77802,13882.0,3_Constraints,15632.0,3_Constraints
29653,296531,2965311,296531102,1,4,1,1,1,13,1,2000,3,2,3,2,2,1,3,1,1,3,1,2,2,4,0,35,270000,1,4,5,3,3,3,3cc19269,101244,12897.0,3_Constraints,3309.0,3_Constraints
74749,747491,7474911,747491102,2,4,1,2,2,13,9,19000,5,2,2,2,3,1,1,9,4,1,1,2,1,1,2000,24,0,1,5,9,2,2,2,e819c5b5,93122,17016.0,2_Core,16610.0,2_Core
25913,259131,2591311,259131101,2,6,1,1,1,4,99,0,4,2,2,2,1,7,2,9,4,1,4,3,9,9,0,46,0,1,0,9,2,2,1,b1f965e8,108981,5079.0,3_Constraints,4475.0,3_Constraints
29302,293021,2930211,293021101,2,1,2,1,2,13,3,0,3,2,2,2,1,5,1,9,4,1,1,3,1,6,0,46,0,1,5,2,1,1,1,e72e21d2,8841,11090.0,3_Constraints,5411.0,3_Constraints
26858,268581,2685811,268581102,2,4,2,1,1,8,99,0,5,2,4,1,2,1,2,0,4,1,4,2,9,9,1000,46,160000,1,0,9,2,2,2,8d5fd09f,52892,16116.0,3_Constraints,11905.0,3_Constraints
110941,1109411,11094111,1109411102,1,5,1,1,1,5,2,73000,10,2,3,1,1,1,3,0,4,1,1,2,1,6,15000,35,480000,1,5,6,2,2,2,684e2719,48122,13817.0,2_Core,8468.0,2_Core
19095,190952,1909522,190952202,2,3,1,1,1,10,4,60000,10,2,3,1,3,2,1,9,3,1,1,1,1,4,11000,35,0,1,5,7,3,2,2,267d7e18,48580,15878.0,3_Constraints,18649.0,3_Constraints
9161,91611,916111,91611101,2,6,1,1,1,13,99,0,5,1,1,2,3,5,1,9,2,1,4,3,9,9,0,46,0,3,0,9,1,1,1,dda3be0e,2883,7230.0,3_Constraints,14756.0,3_Constraints
8730,87301,873011,87301101,2,1,1,3,2,3,9,17000,5,2,3,1,1,6,1,9,4,1,1,3,1,4,1000,46,0,3,6,2,2,1,1,bc6cfec1,112397,5963.0,3_Constraints,5388.0,3_Constraints
93900,939001,9390011,939001101,2,5,2,3,1,11,7,6000,5,2,4,1,2,1,2,0,4,1,1,1,3,1,2000,10,100000,2,3,9,2,2,2,0a208817,93146,4673.0,3_Constraints,5875.0,3_Constraints
38190,381901,3819011,381901101,1,3,2,1,1,8,8,42000,8,1,1,2,1,5,1,9,4,1,1,3,1,2,7000,35,0,3,5,6,1,1,1,1802cd7f,11524,6034.0,3_Constraints,11095.0,3_Constraints
107766,1077661,10776611,1077661102,1,3,1,1,1,7,3,81000,11,2,3,1,2,1,4,0,4,1,1,2,2,4,13000,46,926660,2,5,5,2,2,2,854e1ecf,105454,3031.0,3_Constraints,11766.0,3_Constraints
34869,348691,3486911,348691101,2,5,2,1,1,8,99,0,2,2,2,1,1,5,1,0,1,2,4,3,9,9,0,46,150000,3,0,9,1,1,1,1b94153c,10550,15693.0,3_Constraints,15704.0,3_Constraints
43465,434651,4346511,434651101,1,6,2,2,1,13,99,0,7,2,3,1,2,1,2,0,4,1,4,1,9,9,5000,24,200000,1,0,9,2,2,2,823f0cbd,63119,18109.0,3_Constraints,1737.0,3_Constraints
12887,128871,1288711,128871101,1,3,1,3,1,11,7,0,6,2,2,1,3,2,2,9,2,1,1,1,1,4,0,24,0,2,2,2,2,2,2,5d169f26,44846,18151.0,3_Constraints,1539.0,2_Core
28374,283741,2837411,283741102,2,4,1,3,1,10,4,61000,10,2,4,1,2,1,2,0,4,1,1,2,1,4,15000,24,120000,1,5,7,2,2,2,eff04ec5,58626,19269.0,3_Constraints,1450.0,2_Core
117949,1179491,11794911,1179491103,2,2,2,2,1,9,10,61000,10,2,3,1,1,3,2,0,4,1,1,2,1,4,16000,24,130000,1,5,2,4,4,4,e35f385b,49557,12542.0,2_Core,70.0,2_Core
35650,356501,3565011,356501102,1,4,1,3,1,5,2,46000,8,2,4,1,2,1,2,0,1,2,1,2,1,1,9000,35,300000,1,5,9,3,3,3,b2057c44,52063,7064.0,3_Constraints,6020.0,3_Constraints
10595,105951,1059511,105951101,1,7,1,1,1,4,99,0,5,2,2,2,3,5,3,9,1,3,4,3,9,9,0,48,0,1,0,9,1,1,1,b9a30977,3287,9349.0,3_Constraints,7305.0,3_Constraints
86231,862311,8623111,862311101,2,2,1,1,1,5,2,54000,9,2,4,1,2,1,2,0,4,1,2,1,1,4,13000,10,150000,2,0,2,2,2,2,75296fbe,88528,3674.0,3_Constraints,7905.0,3_Constraints
33078,330781,3307811,330781101,2,4,2,2,2,8,8,16000,6,2,3,1,1,1,1,1,4,1,2,1,1,2,2000,24,60000,2,0,2,2,2,2,57bdbbc1,56906,16116.0,3_Constraints,15065.0,3_Constraints
